Row.names	Control	CNV	PCV	Row.names.y	label.CNV	label.PCV	label.both	sum_formula	compound_name	logFC.PCV	AveExpr.PCV	t.PCV	P.Value.PCV	adj.P.Val.PCV	B.PCV	label.PCV	logFC.CNV	AveExpr.CNV	t.CNV	P.Value.CNV	adj.P.Val.CNV	B.CNV	label.CNV	FC_ctrl_CNV	FC_ctrl_PCV
1244_C31H62O15_[M+H]+	3769.888899	26127.105	14199.24897	1244_C31H62O15_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C31H62O15	UNKNOWN_567	-0.583566843	12.04152053	-0.807721148	0.422548676	0.659432024	-6.82858221	Not significant	-2.303293997	12.04152053	-3.14687662	0.002604031	0.015777364	-2.523996389	ControlVsCNV	6.930470818	3.766490036
1246_C33H64NO8P_[M+H]+	3382.913474	16515.60748	5583.057154	1246_C33H64NO8P_[M+H]+	Not significant	Not significant	Not significant	C33H64NO8P	PE(14:0/14:1(9Z))PE(14:1(9Z)/14:0)1-dodecanoyl-2-(9Z-hexadecenoyl)-glycero-3-phosphoethanolamine1-tridecanoyl-2-(9Z-pentadecenoyl)-glycero-3-phosphoethanolamine1-tetradecanoyl-2-(9Z-tetradecenoyl)-glycero-3-phosphoethanolamine1-(9Z-tetradecenoyl)-2-tetradecanoyl-glycero-3-phosphoethanolamine1-(9Z-pentadecenoyl)-2-tridecanoyl-glycero-3-phosphoethanolamine1-(9Z-hexadecenoyl)-2-dodecanoyl-glycero-3-phosphoethanolamine	-0.292315012	11.35960481	-0.434132981	0.665858507	0.825169563	-7.04850142	Not significant	-0.686161527	11.35960481	-1.004842468	0.319291173	0.556358867	-6.623655209	Not significant	4.882066186	1.650369481
1248_C35H66NO10P_[M+H]+	3159.945354	293935.8649	153913.4238	1248_C35H66NO10P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C35H66NO10P	PS(14:1(9Z)/15:0)PS(15:0/14:1(9Z))1-dodecanoyl-2-(9Z-heptadecenoyl)-glycero-3-phosphoserine1-tridecanoyl-2-(9Z-hexadecenoyl)-glycero-3-phosphoserine1-tetradecanoyl-2-(9Z-pentadecenoyl)-glycero-3-phosphoserine1-(9Z-tetradecenoyl)-2-pentadecanoyl-glycero-3-phosphoserine1-pentadecanoyl-2-(9Z-tetradecenoyl)-glycero-3-phosphoserine1-(9Z-pentadecenoyl)-2-tetradecanoyl-glycero-3-phosphoserine1-(9Z-hexadecenoyl)-2-tridecanoyl-glycero-3-phosphoserine1-(9Z-heptadecenoyl)-2-dodecanoyl-glycero-3-phosphoserine1-(9Z-octadecenoyl)-2-azeloyl-sn-glycero-3-phosphocholine	-2.220317259	13.28085858	-2.167317253	0.03432582	0.142053729	-4.873464656	Not significant	-3.687293031	13.28085858	-3.552831419	0.000764627	0.005996842	-1.373758129	ControlVsCNV	93.01928735	48.70762199
1250_C30H48O10_[M+H]+	17256.045	22843.14433	21699.5365	1250_C30H48O10_[M+H]+	Not significant	Not significant	Not significant	C30H48O10	(3a5b7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-GlucopyranosiduronicacidDeoxycholicacid3-glucuronide3alpha6alpha-dihydroxy-5beta-cholan-24-oicacid6-D-glucuronide3alpha6alpha-dihydroxy-5beta-cholan-24-oicacid3-D-glucuronide(3alpha5beta7alpha)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-beta-D-Glucopyranosiduronicacid?(2S3S4S5R6R)-6-(3R5R6S8S9S10R13R14S17R)-17-(1R)-3-carboxy-1-methyl-propyl-3-hydroxy-1013-dimethyl-23456789111214151617-tetradecahydro-1H-cyclopentaaphenanthren-6-yloxy-345-trihydroxy-tetrahydropyran-2-carboxylicacid(2S3S4S5R)-6-{(1S2S5R7R9R10R11S14R15R)-14-(2R)-4-carboxybutan-2-yl-9-hydroxy-215-dimethyltetracyclo8.7.0.0^{27}.0^{1115}heptadecan-5-yloxy}-345-trihydroxyoxane-2-carboxylicacid	-0.618460459	13.64449244	-1.401799396	0.166299686	0.391268552	-6.179632633	Not significant	-0.37940839	13.64449244	-0.848868376	0.399441599	0.627597225	-6.78167259	Not significant	1.323776354	1.257503472
1252_C10H12O4_[M+H]+	5656.44325	2145.76985	1795.281138	1252_C10H12O4_[M+H]+	Not significant	Not significant	Not significant	C10H12O4	HomoveratricacidXanthoxylin245-Trimethoxybenzaldehyde(+)-3-(34-Methylenedioxyphenyl)-12-propanediolMaltylisobutyrate(S)-Bataticacid1-(245-Trihydroxyphenyl)-1-butanone2-Hydroxy-3-(4-methoxyphenyl)propanoicacid(S)-2-(4-Methoxyphenoxy)propanoicacid4-Hydroxy-6-methyl-3-(1-oxobutyl)-2H-pyran-2-one5-Hydroxyconiferylalcohol3-(3-Hydroxyphenyl)-2-methyllacticacid3-(34-Dihydroxyphenyl)-2-methylpropionicacidHydroferulicacid3-(3-hydroxy-5-methoxyphenyl)propanoicacid2-(3-hydroxy-4-methoxyphenyl)propanoicacid2-(4-hydroxy-3-methoxyphenyl)propanoicacid3-(3-hydroxy-4-methoxyphenyl)propanoicacid3-(2-hydroxy-4-methoxyphenyl)propanoicacid2-(35-dimethoxyphenyl)aceticacid3-hydroxy-3-(3-methoxyphenyl)propanoicacid2-hydroxy-3-(3-methoxyphenyl)propanoicacid2-(2-hydroxy-4-methoxyphenyl)propanoicacid3-(2-hydroxy-3-methoxyphenyl)propanoicacid4-ethenyl-26-dimethoxybenzene-13-diol3-hydroxy-3-(4-methoxyphenyl)propanoicacid3-(3-hydroxy-2-methoxyphenyl)propanoicacid	0.550382463	10.83456747	1.611895847	0.112408916	0.30203787	-5.871690104	Not significant	0.180998475	10.83456747	0.523247063	0.60279407	0.780713949	-7.005597887	Not significant	0.379349665	0.317386926
1254_C21H41NO4_[M+H]+	18411.7955	20389.5315	27417.66	1254_C21H41NO4_[M+H]+	Not significant	Not significant	Not significant	C21H41NO4	Tetradecanoylcarnitine3-(tetradecanoyloxy)-4-(trimethylazaniumyl)butanoate(3R)-3-(tetradecanoyloxy)-4-(trimethylazaniumyl)butanoateN-octadecanoyl-serine	-0.525643	14.30316192	-2.770013329	0.007515707	0.067641361	-3.514479202	Not significant	-0.162514844	14.30316192	-0.845363523	0.401378917	0.628501959	-6.784637409	Not significant	1.107416792	1.489135592
1256_C19H37N5O3_[M+H]+	4319.17645	1975.265108	2925.46175	1256_C19H37N5O3_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C19H37N5O3	UNKNOWN_572	0.850017705	11.1279422	2.2442893	0.028641162	0.128262596	-4.715143169	Not significant	1.376041664	11.1279422	3.586261433	0.000688784	0.005599254	-1.274962069	ControlVsCNV	0.457324476	0.677319342
1258_C25H36O12_[M+H]+	6299.739	7579.177	7952.095	1258_C25H36O12_[M+H]+	Not significant	Not significant	Not significant	C25H36O12	1617-Dihydro-16a17-dihydroxygibberellinA417-glucoside	-0.232874412	12.64927984	-1.001824702	0.320586144	0.57687373	-6.653513489	Not significant	-0.115339391	12.64927984	-0.489786842	0.626130669	0.798381197	-7.022656663	Not significant	1.203093811	1.262289596
126_C10H18N2O5_[M+H]+	4290.2712	10722.0455	12485.6837	126_C10H18N2O5_[M+H]+	Not significant	Not significant	Not significant	C10H18N2O5	L-beta-aspartyl-L-leucinegamma-GlutamylvalineAspartyl-IsoleucineAspartyl-LeucineGlutamylvalineIsoleucyl-AspartateLeucyl-AspartateValyl-Glutamate	-1.091878822	12.53670811	-2.737104504	0.008212965	0.070494617	-3.595458742	Not significant	-0.794328441	12.53670811	-1.965515822	0.054144705	0.174278269	-5.253400762	Not significant	2.499153317	2.910231805
1260_C25H39NO12_[M+H]+	19643.381	22481.865	23626.056	1260_C25H39NO12_[M+H]+	Not significant	Not significant	Not significant	C25H39NO12	UNKNOWN_575	-0.176786078	14.19880288	-0.694988708	0.489835009	0.70861808	-6.91339563	Not significant	-0.019696828	14.19880288	-0.076433804	0.939336802	0.977564728	-7.14071799	Not significant	1.144500786	1.202748957
1261_C10H22O3_[M+H]+	3684.02295	3168.09166	3392.2295	1261_C10H22O3_[M+H]+	Not significant	Not significant	Not significant	C10H22O3	UNKNOWN_575	-0.044804334	11.38705714	-0.134420775	0.893534832	0.938111614	-7.147446486	Not significant	0.176168468	11.38705714	0.521715866	0.603853184	0.780713949	-7.006402906	Not significant	0.859954377	0.920794888
1264_C19H37NO4_[M+H]+	29111.6545	36616.894	36719.0155	1264_C19H37NO4_[M+H]+	Not significant	Not significant	Not significant	C19H37NO4	Dodecanoylcarnitine(3R)-3-(dodecanoyloxy)-4-(trimethylazaniumyl)butanoate3-(dodecanoyloxy)-4-(trimethylazaniumyl)butanoateN-hexadecanoyl-serine	-0.240338201	14.860945	-0.927769549	0.357368759	0.610093628	-6.724610824	Not significant	-0.383250108	14.860945	-1.460357174	0.149583315	0.371809976	-6.0850618	Not significant	1.257808758	1.261316683
1266_C24H51N11O5_[M+H]+	8782.06635	5320.868092	5706.380038	1266_C24H51N11O5_[M+H]+	Not significant	Not significant	Not significant	C24H51N11O5	UNKNOWN_578	0.979771968	11.84368232	1.669003452	0.100501921	0.280618317	-5.781184967	Not significant	1.336083636	11.84368232	2.246597984	0.028484324	0.105619875	-4.697813186	Not significant	0.605878831	0.649776466
1268_C20H39NO4_[M+H]+	39011.384	51014.4545	53086.3	1268_C20H39NO4_[M+H]+	Not significant	Not significant	Not significant	C20H39NO4	N-hexadecanoyl-threonine	-0.523829559	15.00166921	-1.334495543	0.187252629	0.419283061	-6.269814825	Not significant	-0.557812118	15.00166921	-1.40273155	0.166022732	0.390653475	-6.165601063	Not significant	1.307681227	1.360789968
1270_C11H21NO7_[M+H]+	55136.3	59032.485	66914.91	1270_C11H21NO7_[M+H]+	Not significant	Not significant	Not significant	C11H21NO7	N-(1-Deoxy-1-fructosyl)valine	-0.239180373	15.75948868	-1.178029147	0.243591831	0.496284895	-6.463261158	Not significant	-0.044141794	15.75948868	-0.214605068	0.830827361	0.93163464	-7.120399212	Not significant	1.070664608	1.213627139
1272_C22H46NO8P_[M+H]+	2053.654376	2075.053472	2981.53495	1272_C22H46NO8P_[M+H]+	Not significant	Not significant	Not significant	C22H46NO8P	1-hexadecyl-glycero-3-phosphoserine	-1.080698785	10.58533901	-2.266736387	0.027215056	0.12516947	-4.656665563	Not significant	-0.170886057	10.58533901	-0.353920151	0.724703433	0.85896008	-7.067832431	Not significant	1.010420009	1.451819247
1274_C26H54NO8P_[M+H]+	46652.85	65045.95	59911.97	1274_C26H54NO8P_[M+H]+	Not significant	Not significant	Not significant	C26H54NO8P	1-eicosyl-glycero-3-phosphoserine	-0.318307894	15.6675758	-1.912444988	0.060757465	0.1983175	-5.363688411	Not significant	-0.276079609	15.6675758	-1.637326796	0.106972493	0.287455974	-5.819044275	Not significant	1.394254585	1.284208146
1276_C21H41N5O4_[M+H]+	8492.8895	2706.900403	5473.195009	1276_C21H41N5O4_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C21H41N5O4	UNKNOWN_584	1.536393338	11.12021599	2.11115638	0.039152476	0.153140696	-4.974196565	Not significant	2.854762689	11.12021599	3.922726242	0.000237671	0.003018102	-0.260335539	ControlVsCNV	0.318725494	0.644444392
1278_C48H74NO8P_[M+H]+	2595.390182	86774.19975	46074.77641	1278_C48H74NO8P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C48H74NO8P	PE-NMe(20:5(5Z8Z11Z14Z17Z)/22:6(4Z7Z10Z13Z16Z19Z))PE-NMe(22:6(4Z7Z10Z13Z16Z19Z)/20:5(5Z8Z11Z14Z17Z))	-1.127110747	12.46726826	-1.361079872	0.178748959	0.408128781	-6.234690722	Not significant	-2.974051498	12.46726826	-3.54507151	0.000783336	0.006001259	-1.396606487	ControlVsCNV	33.43397088	17.75254323
128_C5H13NO_[M+H]+	33303.50866	35831.58742	37888.525	128_C5H13NO_[M+H]+	Not significant	Not significant	Not significant	C5H13NO	UNKNOWN_13	-0.182321384	15.03867521	-1.052557599	0.29690554	0.561983868	-6.601766091	Not significant	-0.145938002	15.03867521	-0.831641502	0.409019326	0.629835407	-6.796129936	Not significant	1.075910283	1.137673672
1282_C20H42NO7P_[M+H]+	19732.2835	10174.38102	14924.0443	1282_C20H42NO7P_[M+H]+	Not significant	Not significant	Not significant	C20H42NO7P	LysoPE(0:0/15:0)LysoPE(15:0/0:0)1-dodecanoyl-sn-glycero-3-phosphocholine1-pentadecanoyl-glycero-3-phosphoethanolamine2-pentadecanoyl-sn-glycero-3-phosphoethanolamine1-(2-methoxy-6Z-tetradecenyl)-sn-glycero-3-phosphoethanolamine	0.098276228	13.10266153	0.20260656	0.840151009	0.921680457	-7.135833905	Not significant	0.604963248	13.10266153	1.231100505	0.22324993	0.464613608	-6.387416719	Not significant	0.515621064	0.756326266
1284_C26H51N5O8_[M+H]+	10357.33644	45033.2944	25864.68548	1284_C26H51N5O8_[M+H]+	Not significant	Not significant	Not significant	C26H51N5O8	UNKNOWN_589	0.016869489	12.68237212	0.017615516	0.986005985	0.99458928	-7.156423517	Not significant	-1.416710449	12.68237212	-1.460272913	0.149606387	0.371809976	-6.085181767	Not significant	4.347960951	2.497233301
1286_C22H46NO7P_[M+Na]+	7739.501008	7597.085866	13602.63715	1286_C22H46NO7P_[M+Na]+	Not significant	Not significant	Not significant	C22H46NO7P	LysoPC(14:0/0:0)1-Heptadecanoylglycerophosphoethanolamine1-dodecyl-2-acetyl-sn-glycero-3-phosphocholine1-tetradecanoyl-sn-glycero-3-phosphocholine2-tetradecanoyl-sn-glycero-3-phosphocholine1-heptadecanoyl-glycero-3-phosphoethanolamine1-(2-methoxy-6Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine1-(2-methoxy-5Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine	-1.15446574	12.63960553	-1.951467039	0.055832335	0.19098367	-5.292090951	Not significant	0.243953576	12.63960553	0.407049152	0.685468952	0.83710018	-7.060034726	Not significant	0.981598924	1.757559969
1288_C9H10O3_[M+H]+	1322.045127	1814.969072	1404.161295	1288_C9H10O3_[M+H]+	Not significant	Not significant	Not significant	C9H10O3	3-(3-Hydroxyphenyl)propanoicacidD-PhenyllacticacidL-3-PhenyllacticacidPhenyllacticacid4-MethoxyphenylaceticacidDesaminotyrosine3-PhenoxypropionicacidHomovanillinEthylvanillinEthylsalicylate34-DihydroxyphenylacetoneGuaicylacetate34-DimethoxybenzaldehydeEthylparabenMethyl2-methoxybenzoateMethyl4-methoxybenzoate3-(2-Hydroxyphenyl)propanoicacidIpomeanine4-Methoxybenzylformate3-Hydroxy-1-(4-hydroxyphenyl)-1-propanoneEthyl2-furanacrylate4-Hydroxyphenyl-2-propionicacid3-Methoxyphenylaceticacid35-DimethoxybenzaldehydeTropate3-hydroxy-3-phenylpropanoicacid4-ethenyl-6-methoxybenzene-13-diol5-ethenyl-3-methoxybenzene-12-diol4-ethenyl-2-methoxybenzene-13-diol3-(23-dihydroxyphenyl)propanal3-(25-dihydroxyphenyl)propanal2-hydroxy-3-(2-hydroxyphenyl)propanal3-hydroxy-3-(2-hydroxyphenyl)propanal3-(3-hydroxyprop-1-en-1-yl)benzene-12-diol2-3-(hydroxymethyl)oxiran-2-ylphenol2-(3-hydroxyprop-1-en-1-yl)benzene-14-diol4-(E)-2-hydroxyethenyl-2-methoxyphenol4-(1E)-3-hydroxyprop-1-en-1-ylbenzene-12-diol4-3-(hydroxymethyl)oxiran-2-ylphenol2-(2-hydroxyphenyl)propanoicacid2-hydroxy-2-phenylpropanoicacid	-0.61412674	9.689071123	-0.883113333	0.380947178	0.627243399	-6.764779522	Not significant	-0.948649627	9.689071123	-1.307684183	0.196318917	0.430103147	-6.26294227	Not significant	1.372849561	1.062112983
1290_C26H41NO5_[M+H]+	17251.12445	18115.29946	32956.06349	1290_C26H41NO5_[M+H]+	Not significant	Not significant	Not significant	C26H41NO5	UNKNOWN_592	-0.300633118	13.22140375	-0.429328243	0.669273666	0.825169563	-7.063538534	Not significant	0.249491078	13.22140375	0.351695776	0.726339883	0.85896008	-7.081212304	Not significant	1.050093837	1.910371906
1292_C34H51N11O11_[M+H]+	186175.825	3744.8525	4047.2475	1292_C34H51N11O11_[M+H]+	ControlVsCNV	ControlVsPCV	Both	C34H51N11O11	UNKNOWN_595	5.687077273	13.68531208	26.90712055	1.79E-34	1.66E-31	67.5095979	ControlVsPCV	5.707752397	13.68531208	26.65647479	2.96E-34	2.74E-31	66.99669624	ControlVsCNV	0.020114601	0.021738846
1296_C26H43NO5_[M+H]+	90241.215	76415.862	103542.455	1296_C26H43NO5_[M+H]+	Not significant	Not significant	Not significant	C26H43NO5	DeoxycholicacidglycineconjugateChenodeoxycholicacidglycineconjugateGlycoursodeoxycholicacidChenodeoxyglycocholicacidN-(3alpha7alpha-dihydroxy-5beta-cholan-24-oyl)-glycineN-(3alpha12alpha-dihydroxy-5beta-cholan-24-oyl)glycineN-(3alpha7alpha-dihydroxy-5beta-cholan-24-oyl)-glycineN-(3alpha7beta-dihydroxy-5beta-cholan-24-oyl)-glycine	-0.414183056	15.92118901	-0.951968691	0.345059941	0.596773444	-6.70195968	Not significant	0.304348099	15.92118901	0.690494821	0.492634799	0.694364889	-6.903645972	Not significant	0.84679558	1.147396508
1300_C22H46NO7P_[M+H]+	131403.77	217400.215	184710.17	1300_C22H46NO7P_[M+H]+	Not significant	Not significant	Not significant	C22H46NO7P	LysoPC(14:0/0:0)1-Heptadecanoylglycerophosphoethanolamine1-dodecyl-2-acetyl-sn-glycero-3-phosphocholine1-tetradecanoyl-sn-glycero-3-phosphocholine2-tetradecanoyl-sn-glycero-3-phosphocholine1-heptadecanoyl-glycero-3-phosphoethanolamine1-(2-methoxy-6Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine1-(2-methoxy-5Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine	-0.558630911	16.98152812	-1.634653246	0.107533779	0.29224747	-5.835967829	Not significant	-0.711632213	16.98152812	-2.05549191	0.044339239	0.147320696	-5.082496147	Not significant	1.654444275	1.405668726
1304_C24H36O2_[M+H]+	27168.155	22557.257	29747.199	1304_C24H36O2_[M+H]+	Not significant	Not significant	Not significant	C24H36O2	4812151921-tetracosahexaenoicacid2E4E6E8E10E12E-tetracosahexaenoicacid6Z9Z12Z15Z18Z21Z-tetracosahexaenoicacid(6E9E12E15E18E21E)-tetracosa-6912151821-hexaenoicacid(1S3R5Z7E)-910-secochola-571023-tetraene-13-diol5beta-Chola-8(14)11-dien-24-oicAcid5beta-Chola-79(11)-dien-24-oicAcid5beta-Chola-311-dien-24-oicAcidchola-46-dien-24-oicacidTetracosahexaenoicacid6912151821-TetracosahexaenoicacidTetracosahexaenoicacidn-3	-0.396304387	13.97201886	-0.897578242	0.37311813	0.62320812	-6.752076697	Not significant	0.23342695	13.97201886	0.521859899	0.603753521	0.780713949	-7.006327281	Not significant	0.830282991	1.094928934
1306_C24H38O3_[M+H]+	35918.938	29295.1555	35728.117	1306_C24H38O3_[M+H]+	Not significant	Not significant	Not significant	C24H38O3	15-hydroxy-6Z9Z12Z16E18Z-tetracosapentaenoicacid(5Z7E)-(1S3R)-910-seco-5710(19)-cholatriene-1324-triol3-Oxo-5beta-cholan-24-oicAcid3-Oxo-5alpha-cholan-24-oicAcid6-Oxo-5beta-cholan-24-oicAcid6-Oxo-5alpha-cholan-24-oicAcid7-Oxo-5beta-cholan-24-oicAcid12-Oxo-5beta-cholan-24-oicAcid12-Oxo-5alpha-cholan-24-oicAcid3alpha-Hydroxychol-4-en-24-oicAcid3beta-Hydroxychol-4-en-24-oicAcid3alpha-Hydroxychol-5-en-24-oicAcid3beta-Hydroxy-chol-5-en-24-oicAcid3alpha-Hydroxy-5beta-chol-6-en-24-oicAcid3beta-Hydroxy-5beta-chol-6-en-24-oicAcid3alpha-Hydroxy-5beta-chol-7-en-24-oicAcid3beta-Hydroxy-5alpha-chol-7-en-24-oicAcid3alpha-Hydroxy-5beta-chol-8-en-24-oicAcid3alpha-Hydroxy-5beta-chol-8(14)-en-24-oicAcid3alpha-Hydroxy-5beta-chol-9(11)-en-24-oicAcid3beta-Hydroxy-5beta-chol-9(11)-en-24-oicAcid3alpha-Hydroxy-5beta-chol-11-en-24-oicAcid3alpha-Hydroxy-5beta-chol-14-en-24-oicAcid7alpha-Hydroxy-5beta-chol-3-en-24-oicAcid12alpha-Hydroxy-5beta-chol-3-en-24-oicAcid7-Oxo-5alpha-cholan-24-oicAcid7alpha-Hydroxy-5beta-chol-2-en-24-oicAcid3beta-Hydroxy-5beta-chol-1-en-24-oicAcid11-Oxo-5beta-cholan-24-oicAcid3alpha-Hydroxy-5beta14beta-chol-8-en-24-oicAcid(20S)-3beta-Hydroxychol-5-en-24-oicAcid(20S22E)-3beta-Hydroxy-5alpha-chol-22-en-24-oicAcid3alpha-Hydroxy-5alpha-chol-6-en-24-oicAcid15-Oxo-5beta-cholan-24-oicAcid(Z)-2-hydroxy-6-(pentadec-8-en-1-yl)benzoicacid3b-Hydroxy-5-cholenoicacid2-(10-Heptadecenyl)-6-hydroxybenzoicacidD8-MerulinicacidC	-0.452013032	14.32556679	-1.033468166	0.305671286	0.567478258	-6.621526331	Not significant	0.1594161	14.32556679	0.359780667	0.720316784	0.858269484	-7.078310907	Not significant	0.815590803	0.994687454
1310_C16H31NO2S_[M+H]+	20275.52	18444.3165	21398.48	1310_C16H31NO2S_[M+H]+	Not significant	Not significant	Not significant	C16H31NO2S	UNKNOWN_599	-0.08458255	14.20966653	-0.468605772	0.641106441	0.811460791	-7.045769514	Not significant	0.032592691	14.20966653	0.178240572	0.859154622	0.942528206	-7.127615782	Not significant	0.909684018	1.055385016
1311_C33H50O11_[M+H]+	31592.20935	50995.85665	42666.80912	1311_C33H50O11_[M+H]+	Not significant	Not significant	Not significant	C33H50O11	UNKNOWN_599	-0.162731933	12.905823	-0.175999849	0.860906606	0.929283146	-7.140923701	Not significant	-0.995244963	12.905823	-1.062500137	0.292408954	0.542702333	-6.578516459	Not significant	1.614190894	1.350548442
1316_C8H24O28P8_[M+H]+	36442.86	35847.17	37875.205	1316_C8H24O28P8_[M+H]+	Not significant	Not significant	Not significant	C8H24O28P8	UNKNOWN_5	-0.055805981	15.14939602	-0.614968537	0.540978791	0.746260922	-6.965999794	Not significant	0.0214426	15.14939602	0.233243256	0.816393037	0.923590903	-7.116183404	Not significant	0.983654137	1.039303858
1317_C30H24Br4N4O8_[M+H]+	28174.155	28915.88	29301.535	1317_C30H24Br4N4O8_[M+H]+	Not significant	Not significant	Not significant	C30H24Br4N4O8	UNKNOWN_5	-0.054770393	14.79926006	-0.68870766	0.49375068	0.711568515	-6.917753531	Not significant	-0.023464657	14.79926006	-0.291247879	0.77189991	0.887780665	-7.100823052	Not significant	1.026326433	1.040014687
132_C9H8O2_[M+H]+	402265.665	537025.505	612539.98	132_C9H8O2_[M+H]+	Not significant	Not significant	Not significant	C9H8O2	Cinnamicacidtrans-Cinnamicacid(E)-3-(2-Hydroxyphenyl)-2-propenalDi-2-furanylmethane1-Phenyl-12-propanedione34-Dihydro-2H-1-benzopyran-2-one(E)-3-(4-Hydroxyphenyl)-2-propenal3-phenylprop-2-enoicacid3-(2-hydroxyphenyl)prop-2-enal(2Z)-2-hydroxy-3-phenylprop-2-enal(2E)-3-(3-hydroxyphenyl)prop-2-enal3-phenyloxirane-2-carbaldehyde3-(4-hydroxyphenyl)prop-2-enal	-0.712349125	18.67495254	-2.192229048	0.032386153	0.138168664	-4.822735406	Not significant	-0.248978513	18.67495254	-0.756335347	0.45250676	0.663724314	-6.855925437	Not significant	1.335002094	1.522724988
1320_C32H51NO10_[M+H]+	17097.1805	20561.789	22280.8081	1320_C32H51NO10_[M+H]+	Not significant	Not significant	Not significant	C32H51NO10	UNKNOWN_600	-0.073803726	13.61750472	-0.152256883	0.879512295	0.932907138	-7.144862258	Not significant	-0.071902245	13.61750472	-0.146420064	0.884097092	0.958547374	-7.132835664	Not significant	1.202642096	1.303186107
1322_C33H44N4O6_[M+H]+	242682.54	126948.3917	143082.204	1322_C33H44N4O6_[M+H]+	Not significant	Not significant	Not significant	C33H44N4O6	Mesobilirubinogen	0.889693996	16.22254613	1.254523895	0.214679438	0.457489284	-6.371537578	Not significant	1.32254604	16.22254613	1.840808335	0.070762154	0.212286462	-5.479159842	Not significant	0.523104759	0.589585901
1324_C23H43NO8_[M+H]+	5264.36015	9714.542809	10628.58148	1324_C23H43NO8_[M+H]+	Not significant	Not significant	Not significant	C23H43NO8	UNKNOWN_605	-0.34893844	12.13963479	-0.554802344	0.581161367	0.775160558	-7.001372782	Not significant	-0.22398863	12.13963479	-0.351540155	0.72645599	0.85896008	-7.081267507	Not significant	1.845341605	2.018969291
1326_C21H42NO8P_[M+H]+	3192.1405	6741.1585	4993.126	1326_C21H42NO8P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C21H42NO8P	12-dioctanoyl-sn-glycero-3-phosphoethanolamine	-0.525162332	11.9949774	-2.152136233	0.035557145	0.144888962	-4.904137099	Not significant	-0.903767318	11.9949774	-3.655883247	0.000553213	0.0049135	-1.067334855	ControlVsCNV	2.111798807	1.564193681
1328_C27H53N5O7_[M+H]+	43711.5085	31000.13126	26784.74833	1328_C27H53N5O7_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C27H53N5O7	UNKNOWN_606	1.293969184	14.00737231	1.993832449	0.050875538	0.181390859	-5.212926775	Not significant	1.776292872	14.00737231	2.701710397	0.009028786	0.04292146	-3.669389716	ControlVsCNV	0.709198386	0.61276193
1330_C28H48NO7P_[M+H]+	663904.65	631407.5315	747437.05	1330_C28H48NO7P_[M+H]+	Not significant	Not significant	Not significant	C28H48NO7P	LysoPC(20:5(5Z8Z11Z14Z17Z))1-(5Z8Z11Z14Z17Z-eicosapentaenoyl)-sn-glycero-3-phosphocholine	-0.274677036	19.23313225	-0.825362589	0.412544841	0.65038957	-6.8141828	Not significant	0.161971808	19.23313225	0.480420301	0.632734141	0.804513966	-7.027231755	Not significant	0.951051528	1.125819875
1332_C18H33N_[M+H]+	2029.288723	2014.738321	1780.629888	1332_C18H33N_[M+H]+	Not significant	Not significant	Not significant	C18H33N	UNKNOWN_607	0.292436504	10.67636478	1.015297273	0.314177293	0.572350826	-6.640011896	Not significant	0.067836103	10.67636478	0.232478087	0.816984402	0.923590903	-7.116363374	Not significant	0.992829802	0.877465029
1334_C33H34N4O6_[M+H]+	37825.65456	35756.2035	32037.35771	1334_C33H34N4O6_[M+H]+	Not significant	Not significant	Not significant	C33H34N4O6	Biliverdin	-0.181121591	14.3380402	-0.314755579	0.754075832	0.865889238	-7.10653473	Not significant	-0.199930765	14.3380402	-0.342959103	0.732868109	0.861050364	-7.084273788	Not significant	0.945289749	0.846974311
1336_C14H18N2O7_[M+Na]+	22792.87455	28315.795	31742.849	1336_C14H18N2O7_[M+Na]+	Not significant	Not significant	Not significant	C14H18N2O7	Humilixanthin	-0.336315414	14.32531968	-0.813987485	0.418978668	0.657179738	-6.823502275	Not significant	-0.069171797	14.32531968	-0.165256865	0.869315974	0.949182459	-7.129869108	Not significant	1.242309079	1.392665455
134_C10H18N2O5_[M+H]+	1574.020305	3300.040612	6941.679144	134_C10H18N2O5_[M+H]+	ControlVsCNV	ControlVsPCV	Both	C10H18N2O5	L-beta-aspartyl-L-leucinegamma-GlutamylvalineAspartyl-IsoleucineAspartyl-LeucineGlutamylvalineIsoleucyl-AspartateLeucyl-AspartateValyl-Glutamate	-1.431633633	11.09652211	-3.153983336	0.002550592	0.033655752	-2.516807688	ControlVsPCV	-1.225492612	11.09652211	-2.665002948	0.009952724	0.045674133	-3.757916422	ControlVsCNV	2.096568006	4.410158575
